治家	12:2;23:1;7:1
注释	31:3;1:2;0:1;10:1;11:1;12:1;13:1;14:1;15:1;16:1;17:1;18:1;19:1;2:1;20:1;21:1;22:1;24:1;25:1;26:1;27:1;28:1;29:1;3:1;32:1;4:1;5:1;6:1;7:1;8:1;9:1
注销	27:1
泪	29:5;27:4;10:2;25:2;11:1;13:1;14:1;15:1;16:1;24:1;26:1;30:1;31:1
泪下	8:1
泪人	20:1;21:1;5:1;7:1
泪人儿	20:1;21:1;5:1;7:1
泪作	19:1
泪儿	11:1
泪如泉涌	31:1
泪如雨下	29:1;7:1
泪来	10:1;11:1;13:1;15:1;20:1;26:1;28:1;29:1
泪水	15:2;31:19;0:1;16:1;17:1;2:1;20:1;24:1;25:1;27:1;4:1
泪汪汪	31:2;15:1
泪泉	21:1
泪流	2:1;21:1;25:1;30:1
泪流满面	2:1
泪海	2:1;5:1
泪涛	13:1;14:1;15:1;29:1;9:1
泪液	27:1
泪滴	1:1;22:1;32:1;7:1
泪潮	11:1
泪点	13:1;19:1;20:1;29:1;6:1
泪珠	19:2;25:2;10:1;11:1;16:1;20:1;21:1;24:1;27:1;29:1;32:1;8:1
泪痕	29:1;5:1
泪眼	27:1;6:1
泪雨	29:2;19:1;21:1;25:1
泪颜	12:1
泯	32:1
泯没	8:1
泯除	13:1;22:1
泰	32:82;10:4;13:3
泰伦	13:9
泰伦来	13:1
泰伦用	13:1
泰保	17:1
泰利	8:17
泰勒	32:20
泰勒斯	32:20
泰尔	8:35
泰山	22:1
泰晤士	18:5;31:2;17:1
泰晤士河	18:5;31:2;17:1
泰来	8:1
泰然	10:1;2:1;22:1;31:1;7:1
泰然自若	22:1;31:1
泰特	2:20;29:197;13:16;0:1
泰福	1:1
泰索斯去	32:1
泰维娅	10:43
泰维娅率	10:1
泰莎	8:50
泰莎上	8:2
泰莎同	8:1
泰莎展动	8:1
泰门	13:323;19:1
泰门备	13:1
泻下	20:1;28:1
泻下来	20:1
泼	14:2;18:1
泼勃力	10:1
泼口	24:1
泼墨	19:1
泼夫	1:2
泼妇	14:7;31:3;0:1;1:1;4:1;6:1;7:1
泼妇骂街	7:1
泼皮	3:1
泼货	0:1
泼辣	14:6;18:2;17:1;31:1
泼辣辣	18:1
泽	32:1
泽兰	4:1
泽及	30:2;8:2;4:1
泽及后人	8:1
泽国	8:1
泽地	25:1;28:1
洁	28:1
洁净	28:1
洁白	19:3;4:3;10:1;12:1;13:1;15:1;17:1;21:1;23:1;25:1;27:1;29:1;6:1;7:1
洁白无瑕	23:1
洁白无疵	29:1
洁身	12:1
洁身自好	12:1
洋娃娃	14:1
洋洋	21:2;30:2;31:2;17:1;25:1;7:1
洋洋得意	25:1;31:1
洋洋洒洒	30:1
洋溢	10:1;19:1;22:1;25:1;27:1;31:1;7:1;8:1
洋溢着	10:1;27:1;7:1
洋葱	10:1;15:1
洋钱	17:6;11:1;15:1;23:1
洒	31:3;10:2;13:2;24:2;1:1;12:1;15:1;21:1;25:1;5:1
洒下	17:1;25:1;27:1;28:1;29:1;9:1
洒入	32:1
洒出	31:5
洒泪	31:1
洒洒	30:1
洒满	1:1;18:1;31:1
洒进	31:1
洒遍	4:1
洗	27:4;1:3;18:2;2:2;29:2;11:1;13:1;14:1;16:1;17:1;25:1;30:1;31:1;32:1;4:1;5:1
洗不掉	27:1
洗不软	23:1
洗个	16:1;18:1;2:1
洗些	18:1
洗儿	9:1
洗净	22:3;2:2;10:1;17:1;19:1;31:1;4:1
洗刷	31:5;24:3;10:2;27:2;4:2;0:1;13:1;16:1;2:1;21:1;23:1;29:1;9:1
洗劫	25:1
洗去	19:1;27:1
洗城	31:1
洗头	14:1
洗尘	14:1;22:1;29:1
洗尽铅华	19:1
洗心	0:1;1:1;17:1;23:1;28:1
洗心革面	0:1;1:1;17:1;23:1;28:1
洗手	14:2;29:2;22:1;25:1;5:1;8:1
洗手不干	8:1
洗拭	7:1
洗掉	31:3
洗擦	31:1
洗洗	18:2;1:1;9:1
洗涤	1:2;19:2;25:2;7:2;15:1;5:1
洗清	1:1;12:1;24:1
洗皮	13:1
洗着	15:1
洗碗	28:1
洗礼	24:9;17:1;27:1;4:1;6:1
洗耳	19:3;0:1;1:1;11:1;17:1;3:1;32:1
洗耳恭听	19:3;0:1;1:1;11:1;17:1;3:1
洗脸	8:1
洗衣	18:7;16:1
洗衣服	18:7
洗过	30:2;20:1;5:1
洗雪	17:2;25:2;15:1;2:1;27:1
洗面	23:1;25:1;27:1
洛	24:41;1:2;25:11;21:1
洛伊	0:3;21:252;14:1;16:1;19:1;30:1;6:1
洛伊罗	21:2
洛克	24:3;25:3;29:3;31:19;27:154;1:14;6:110;15:1
洛克里	15:1
洛利堡	27:1
洛哲罗	4:1
洛多	3:1
洛度	23:4
洛彻	1:2;24:1
洛斯	10:65;22:55;31:4;0:3;25:3;21:196;23:19;27:18;28:151;7:10;1:1;15:1;29:1
洛林	17:2
洛特	6:81
洛缪	14:1
洞	29:2;1:1;11:1;12:1;14:1;32:1
洞中	12:1
洞儿	5:2
洞口	29:3;12:1;28:1;31:1
洞外	29:1
洞天	30:1
洞天福地	30:1
洞如观火	31:1
洞室	28:5
洞察	22:1;26:1
洞府	5:2;1:1;29:1;9:1
洞房	2:1;24:1;3:1;8:1
洞房花烛	24:1;3:1
洞明	4:1
洞洞	7:2
洞穴	13:2;27:1;31:1;5:1
洞穿	12:1;15:1;23:1;32:1
洞窟	28:4;12:3;0:1;17:1;31:1
洞箫	30:1
洞若观火	31:1
洞藏起	25:1
洞边	10:1
洞里	28:4;29:3;12:2;13:2;16:2;18:1;2:1;20:1
洞门	12:1;22:1;28:1
津津	1:1;19:1;27:1;29:1;31:1;4:1
津津有味	19:1;27:1;29:1;31:1;4:1
津贴	31:2
洪亮	21:1
洪恩	27:1
洪水	1:1;16:1;17:1;29:1;3:1;32:1;7:1;8:1;9:1
洪水泛滥	1:1;17:1
洪流	2:1;25:1
洪福	31:1
活	31:7;4:6;23:5;7:4;8:4;1:3;17:3;20:3;22:3;25:3;14:2;15:2;30:2;0:1;10:1;12:1;16:1;2:1;21:1;24:1;28:1;29:1;3:1;32:1;5:1;6:1
活上	3:1
活下去	4:5;31:4;10:2;13:2;17:2;3:2;6:2;16:1;22:1;24:1;25:1;26:1;32:1;7:1
活不下去	16:2;30:2;31:2;4:1;5:1
活不了	25:1
活不成	31:4;10:1;15:1;16:1;2:1;20:1;25:1;4:1
活人	1:3;22:3;31:3;12:2;13:1;20:1;24:1;3:1;32:1;7:1;8:1
活体	4:1
活像	1:5;14:2;17:2;8:2;10:1;12:1;16:1;19:1;20:1;22:1;26:1;29:1;30:1;31:1;4:1;7:1
活儿	17:3;14:2;1:1;23:1;26:1;3:1;31:1;32:1;8:1
活到	12:1;14:1;20:1;21:1;24:1;3:1;5:1;9:1
活到老	12:1;20:1
活剧	19:1;21:1;26:1
活力	31:3;1:2;10:1;2:1;26:1;29:1
活动	1:3;3:3;17:2;24:2;26:2;7:2;12:1;13:1;15:1;19:1;20:1;21:1;22:1;23:1;27:1;28:1;29:1;31:1;4:1
活受	31:1
活受罪	29:1;31:1
活命	23:9;31:7;20:5;3:5;10:4;1:3;12:3;18:3;2:3;26:3;27:3;29:3;32:3;16:2;21:2;25:2;4:2;5:2;8:2;0:1;11:1;13:1;14:1;22:1;30:1;6:1;7:1
活在	5:3;23:2;27:2;31:2;32:2;14:1;22:1;29:1;30:1;4:1;6:1
活地狱	28:1
活埋	7:2;18:1;30:1
活够	31:1
活寡	14:1
活得	31:4;18:1;20:1;22:1;23:1;25:1;28:1;32:1;4:1;6:1
活得够	22:1
活得成	20:1;25:1
活捉	10:1;25:1;31:1;32:1
活是	28:1
活来	18:1;28:1;5:1
活死人	31:1;9:1
活水	5:1
活泼	19:3;0:2;1:2;15:2;31:2;10:1;2:1;25:1;32:1;4:1;5:1;6:1;7:1
活泼泼	10:1;15:1;25:1;4:1
活活	4:4;13:2;21:2;26:2;1:1;10:1;12:1;20:1;22:1;29:1;30:1;5:1;6:1;8:1
活活泼泼	4:1
活灵活现	10:1
活现	0:2;10:1;14:1;15:1;17:1;18:1;21:1;3:1
活生	0:2;12:2;29:2;13:1;25:1;27:1;7:1
活生生	0:2;12:2;29:2;13:1;25:1;27:1;7:1
活看	11:1
活着	27:9;12:8;28:8;17:7;5:7;24:6;23:5;25:5;29:4;3:4;10:3;11:3;20:3;22:3;32:3;26:2;6:2;7:2;31:18;1:12;4:11;13:1;14:1;15:1;16:1;2:1;30:1;8:1;9:1
活菩萨	14:1
活见鬼	17:1
活该	20:3;10:1;12:1;18:1;2:1;24:1;28:1;3:1;31:1
活起	12:1;16:1;24:1;29:1;8:1
活跃	17:2;12:1;21:1;23:1;24:1;28:1;5:1
活路	22:1;6:1
活过	10:1;11:1;22:1;26:1;30:1
活过来	10:1;11:1;30:1
活龙活现	15:1;17:1;18:1
派	17:9;25:8;26:8;10:4;12:4;0:3;2:3;31:28;1:2;19:2;21:2;22:2;27:2;4:2;24:15;11:1;15:1;18:1;20:1;23:1;3:1;30:1;32:1;5:1;7:1
派人召	4:1
派人来	1:1;17:1;24:1
派作	1:1
派兵	31:4;20:1
派出	25:2;1:1;17:1;22:1;31:1
派头	3:1
派往	7:1
派来	24:3;31:2;1:1;17:1;25:1;4:1
派系	31:1
派萨穆	31:2
派遣	31:6;24:2;1:1;12:1;25:1;27:1;7:1;9:1
流	26:4;4:4;29:3;5:3;0:2;25:2;31:2;32:2;6:2;1:1;10:1;11:1;13:1;16:1;18:1;2:1;21:1;22:1;24:1;27:1;3:1;30:1;7:1
流下	20:3;27:3;8:3;16:2;29:2;12:1;15:1;2:1;25:1;31:1;4:1;5:1;6:1
流下来	15:1;29:1;4:1
流下泪来	27:1
流不出	25:1;27:1
流个	16:1
流之潺	18:2
流于	19:1;24:1;7:1
流些	8:1
流亡	16:5;27:4;12:1;25:1;29:1;31:1
流亡国外	27:1
流亡者	29:1
流产	25:2;19:1;31:1
流人	16:1;19:1
流传	17:2;1:1;10:1;12:1;18:1;24:1;25:1;30:1
流传下去	25:1
流传开来	17:1
流出	31:6;27:2;13:1;17:1;2:1;20:1;24:1;25:1
流出去	24:1
流利	0:1;11:1;19:1
流到	16:1
流动	0:1
流去	16:1
流太多	1:1
流完	29:1
流尽	1:1;22:1;25:1;29:1
流干	25:1
流徒	5:2;27:1
流放	16:1;25:1
流星	1:3;27:2;21:1;24:1;5:1
流毒	2:1;3:1
流氓	31:5;4:5;1:4;20:3;14:2;24:2;17:13;13:1;18:1;2:1;25:1;30:1
流水	2:2;31:2;1:1;10:1;12:1;13:1;14:1;16:1;17:1;23:1;26:1;29:1;32:1;4:1
流汗	1:2;32:2;26:1;27:1;7:1
流沙	31:3;6:1
流泉	29:1;5:1
流泪	29:7;27:6;3:5;12:4;16:3;25:3;32:3;7:3;8:3;11:2;13:2;20:2;5:2;31:11;1:1;10:1;15:1;17:1;19:1;2:1;22:1;23:1;24:1;28:1;30:1
流浆	19:1
流浪	27:2;13:1;15:1;16:1;18:1;20:1;26:1;29:1
流浪者	27:1
流涎	8:1
流涕	15:2;31:2;1:1;10:1;16:1;20:1;26:1;30:1;5:1;6:1;8:1
流满	14:2;2:1;20:1
流火	20:2
流盼	6:1
流眼泪	6:2;16:1
流着	1:6;17:3;5:3;13:2;14:2;20:2;21:2;24:2;31:2;32:2;6:2;2:1;22:1;27:1;29:1;4:1;8:1
流着泪	10:1;12:1;14:1;27:1;4:1
流离	31:2;0:1;8:1
流离失所	0:1;31:1
流芳	29:1;31:1
流苏	14:1;21:1
流萤	15:1
流落	20:1
流血	7:8;32:7;2:6;25:6;29:6;21:5;17:4;27:4;12:3;20:3;26:3;0:2;5:2;1:14;22:14;31:11;10:1;13:1;16:1;24:1;4:1;6:1
流行	19:5;30:2;1:1;11:1;14:1;18:1;27:1;5:1;7:1
流言	22:2;1:1;23:1;29:1;8:1;9:1
流言蜚语	29:1;9:1
流走	24:1
流起	10:1;11:1;13:1;28:1;30:1;6:1
流转	0:1;15:1
流过	2:5;11:2;25:2;1:1;20:1;7:1
流连	27:1;28:1;7:1;8:1
流连忘返	27:1;7:1
流通	23:1;25:1
流露	1:4;13:3;7:3;17:2;10:1;16:1;19:1;21:1;22:1;25:1;26:1;27:1;28:1;29:1;30:1;32:1;5:1;8:1
流露出	1:1;13:1;17:1;21:1;25:1;26:1;32:1;8:1
流露出来	13:1;17:1;26:1;32:1
流鼻血	6:1
浅	25:2;10:1;12:1;16:1;22:1;23:1
浅哩	1:1
浅滩	22:1;24:1
浅绿	18:1
浅绿色	18:1
浅薄	16:6;1:4;19:3;17:2;0:1;11:1;20:1;23:1;25:1;30:1;7:1
浅近	13:1
浅陋	9:1
浆	20:1;22:1
浆果	28:2;10:1
浆洗	31:1
浆糊	18:1
浇	31:3;26:1;8:1
浇上	31:1
浇下	5:1
浇去	9:1
浇在莠草	7:1
浇尽	10:1
浇息	29:1
浇愁	1:2
浇水	13:1;14:1
浇洒	20:2;27:2;0:1;15:1;29:1;7:1
浇溉	27:2;5:1
浇灌	1:1;12:1
浇灭	24:1;31:1
浇熄	2:2;22:1;27:1;28:1;29:1;7:1
浇肥	1:1
浊气	26:1
测	22:1;23:1
测度	21:2;12:1;19:1;20:1;22:1
测计	16:1
测量	1:2;10:1;17:1
测量师	1:1
测高	13:1
济	31:2;23:1;25:1
济世	23:1
济济	21:1;26:1;27:1
浏览	17:2;19:2;4:2;0:1;1:1;10:1;11:1;12:1;13:1;14:1;15:1;16:1;18:1;2:1;20:1;21:1;22:1;23:1;24:1;25:1;26:1;27:1;28:1;29:1;3:1;30:1;31:1;32:1;5:1;6:1;7:1;8:1;9:1
浑噩	12:1;17:1;19:1;22:1;23:1
浑圆	20:1;9:1
浑浑	12:1;17:1;22:1;23:1
浑浑噩噩	12:1;17:1;22:1;23:1
浑话	24:1
浑身	28:9;31:7;14:5;17:5;24:5;32:4;9:4;1:3;16:3;18:3;21:3;3:3;5:3;10:2;2:2;13:1;15:1;19:1;22:1;23:1;25:1;29:1;30:1;7:1
浑身上下	24:1
浑身发抖	13:1;14:1;5:1;9:1
浑身是胆	17:1
浓	11:1;4:1;6:1;8:1
浓厚	21:1
浓密	20:1;30:1
浓淡	0:1
浓淡适中	0:1
浓烈	1:1;4:1;6:1
浓烟	16:1;22:1;31:1
浓艳	16:1
浓荫	29:1;30:1
浓装	9:1
浓装艳抹	9:1
浓重	10:1
浓阴	11:1
浓雾	15:1;29:1
浦托	3:1
浦路	26:29;10:1
浩大	17:2;1:1;2:1;27:1
浩如	13:1;19:1
浩如烟海	13:1;19:1
浩浩	17:3;1:1;21:1;27:1;32:1
浩浩荡荡	17:3;21:1;32:1
浩渺	5:1;9:1
浩瀚	16:1
浩然	12:1
浩荡	17:3;21:1;28:1;32:1
浪	11:1;14:1;21:1;27:1;5:1
浪人	27:1;3:1
浪博	19:1
浪头	1:1;8:1
浪子	1:4;13:4;6:2;0:1;10:1;11:1;12:1;14:1;16:1;18:1;21:1;27:1;32:1;4:1;8:1;9:1
浪子回头	4:1
浪巅	25:1
浪得	20:1
浪打	22:1
浪掷	0:1;26:1
浪柳	23:1;9:1
浪正	32:1
浪沫	32:1
浪涛	17:3;25:2;28:1;29:1;8:1
浪游	15:1;7:1
浪漫	0:1;4:1
浪潮	28:2;1:1;25:1
浪狂	28:1
浪相	14:1
浪者	27:1
浪花	8:2;4:1
浪荡	11:2;23:1;24:1;27:1;7:1;8:1
浪荡子	23:1;8:1
浪蝶	6:1
浪语	30:1;9:1
浪费	5:4;1:3;27:3;0:2;12:2;13:2;15:2;16:2;23:2;24:2;6:2;10:1;17:1;2:1;21:1;26:1;28:1;7:1;8:1
浪费时间	1:1;26:1;6:1
浪迹	25:1
浮	18:2;1:1;13:1;25:1
浮世	13:1
浮于	10:1
浮云	10:2;27:2;29:2;1:1;19:1;22:1;25:1;31:1
浮华	13:3;21:2;27:2;1:1;16:1;19:1;25:1
浮名	19:1;24:1
浮在	0:1;31:1
浮士	24:4;31:4
浮夸	21:1;24:1
浮尸	18:1
浮影	25:1
浮文	32:1
浮标	20:1
浮沉	0:1;12:1;25:1;29:1
浮沙	10:1
浮渣	20:1;28:1
浮现	25:1
浮生	0:1;26:1;8:1
浮着	10:1
浮而不实	17:1
浮艳	7:1
浮荡	17:1
浮薄	19:1;27:1
浮起	22:1;30:1;7:1
浮雕	25:2
浮面	25:1
浴	14:1
浴池	13:1
浴洗	1:1
浴血	1:1;10:1;22:1;26:1;31:1
海	10:4;28:3;5:2;0:1;29:1;4:1;8:1
海上	31:7;28:5;26:3;4:3;6:3;10:26;12:2;13:2;15:2;22:2;32:2;8:19;1:1;14:1;19:1;24:1;27:1;5:1;7:1
海中	28:3;10:1;11:1;12:1;15:1;23:1;24:1;27:1;31:1;4:1;5:1;6:1;8:1
海丽娜	15:71;3:131
海伦	15:8;21:52;31:3;12:2;3:13;14:1;16:1;5:1
海伦娜	31:2
海军	10:2;1:1;17:1;31:1
海军上将	17:1;31:1
海口	26:2;10:1;14:1;21:1;3:1;4:1
海司	25:91;1:27;31:22
海味	31:1
海啸	21:1
海外	8:2;1:1;17:1;19:1;25:1;31:1;6:1;7:1
海天	26:2
海岛	28:2;11:1;26:1
海岬上	15:1
海岸	8:8;28:5;31:4;25:3;27:3;4:3;12:2;6:2;1:1;10:1;17:1;18:1;19:1;26:1
海岸边	25:1
海峡	31:4;11:3;17:2;16:1;26:1;6:1
海市	28:1
海底	28:4;25:3;1:1;11:1;15:1;17:1;21:1;22:1;26:1;29:1;8:1
海心	10:1;28:1
海怪	6:2;11:1;20:1
海战	10:4;0:1
海是	13:1
海枯石烂	19:2
海标	2:1
海水	31:7;1:4;20:3;4:3;11:2;25:2;26:2;27:2;7:2;28:12;8:11;0:1;12:1;13:1;19:1;21:1;22:1;29:1
海沉	28:1
海洋	17:5;31:4;11:3;29:3;9:3;28:2;6:2;0:1;10:1;12:1;14:1;21:1;24:1;25:1;32:1;8:1
海浪	8:2;0:1;1:1;21:1;28:1;31:1;7:1
海涛	13:1;4:1;8:1
海深	31:2;29:1
海港	12:2;1:1;26:1
海湾	16:1;21:1;27:1
海滨	8:7;0:3;28:3;13:1;15:1;2:1;20:1;31:1;4:1;5:1;6:1
海滩	12:1;17:1;20:1;25:1;6:1
海潮	28:2;8:2;12:1;16:1;19:1;29:1
海瑞	27:31;1:3;25:2;24:1;31:1
海疆	10:1
海盗	8:8;31:4;23:3;0:2;10:2;7:2;25:1;28:1
海盗船	7:1
海神	8:3;28:2;1:1;10:1;12:1;21:1;27:1;4:1
海绵	7:4
海船	28:1;8:1
海草	28:1
海角	5:1
海誓	11:2;17:2;0:1;31:1;5:1
海誓山盟	31:1
海豚	0:2;15:1;3:1;8:1
海边	26:3;4:3;10:2;28:2;8:2;13:1;15:1;6:1
海里	29:3;31:3;10:2;28:2;30:2;9:2;8:10;12:1;17:1;20:1;26:1;7:1
海阔天空	1:1
海陆	10:3;8:1
海陆空	8:1
海面	28:2;6:2;8:2;9:2;0:1;15:1;2:1;21:1;25:1
海鱼	25:1
海鸥	13:1;28:1
浸	17:2;14:1;28:1;32:1;5:1
浸在	1:1;32:1
浸染	22:1;27:1
浸没	10:1;20:1;26:1
浸润	22:1
浸满	14:1
浸炼	26:1
浸着	4:1
浸胖	18:1
浸过	16:1;26:1;28:1
浸透	25:2;10:1;17:1;29:1
涂	7:5;1:2;16:2;22:2;5:2;15:1;20:1;27:1;28:1;30:1;31:1
涂上	18:1;24:1;30:1;4:1;9:1
涂刷	20:1
涂去	2:1
涂得	0:1;6:1
涂成	14:1
涂抹	1:1;22:1
涂掉	11:2;23:2
涂染	1:2;19:1;2:1;21:1;29:1;5:1
涂满	16:1;19:1;31:1
涂炭	17:1;2:1;31:1
涂着	15:2;1:1;29:1
涂脂	7:2;12:1;15:1;20:1;4:1
涂脂抹粉	7:2;12:1;15:1;20:1;4:1
涂膏礼	7:1
涂色	23:1
涂过	25:1
涂首	25:1
涅	21:65;29:4;31:4;6:3;11:2;19:2;2:2;4:1;8:1
