猜猜	23,31
现今	1,3,4,11,15,25,28
现付	17
现任	2
现出	1,2,5,6,7,8,10,21,22,23,24
现在	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
现在押	31
现存	1
现实	24
现已	25,31
现形	4,22
现成	8,9,11,18,21
现成饭	8
现有	1
现款	6,13,14
现状	1,10,22
现象	1,10,20,22,27,32
现起	30
现身	8,17
现钱	9,23
玲珑	5,8,9,15,30
玲珑剔透	15
玷	9,23
玷污	3,5,7,8,9,10,11,12,19,20,22,23,24,26,27,28,29,30,32
玷玉	30
玷辱	23,25,27,31
玺	24
玻斯	1,4,10,12,20,21
玻璃	4,8,16,19,20,24
玻璃杯	24
玻璃柜	19
玻璃球	16
珀	1,21
珀涅罗珀	2
珀耳	21
珊德	21
珊瑚	28
珍	0
珍品	8,25
珍奇	4,7,12,13,20,27
珍妮	18
珍宝	2,5,10,11,15,20,21,22,26,27,28,29,31
珍怪	28
珍惜	0,3,5,8,12,17,24,25,26,31
珍爱	2,3,5,6,11,12,15,19,22,24,26,27,30
珍珠	0,7,10,11,14,15,17,19,20,25,26,30
珍藏	7
珍视	15,24
珍贵	2,3,4,5,6,7,12,13,14,15,16,21,28,30
珍重	0,1,2,8,11,17,20,27,28
珍饰	29
珍馐	8,15,19
珠	24
珠光	24
珠子	0,9,15,17
珠宝	0,1,4,6,8,9,10,11,12,13,16,17,22,23,24,25,26,31
珠宝首饰	9
珠玉	8,11,14,16,18,27
珠玑	8
珠环	5
珠翠	19
珠黄	30
班	7,14,22,24,28,31
班上	28
班伏	5
班子	3,7
班师	7,29
班房	9,31
班柯	22
班柯上	22
班柯下	22
班柯之子	22
班柯及	22
班柯尽此	22
班柯是	22
班次	21
班纳特	27
班谷	1
班长	19,30
球	2,12,17,27
球儿	5,8,24
球场	1,8,12,17
球场上	12
球拍	17
理	1,12,17,18,21,24,30,31
理不直	31
理亏	17
理他	1,13,18,21,22,30,32
理会	0,1,2,10,12,13,15,16,17,18,19,25,29,30,31
理发	1,3,7,15,30
理发匠	1,3,7,30
理发店	30
理喻	5,10,21
理屈	1,27
理屈词穷	1
理应	3,12,26,31
理得	3,6,17
理性	4,7,11,13,15,17,24,26,27,28,30,32
理想	2,12,21,28,30
理所当然	2
理是	24
理智	0,1,2,3,4,5,6,7,9,10,11,12,13,15,16,18,20,21,22,23,26,27,28,29,30,32
理查	1,12,14,17,24,25,27,31
理清	0
理由	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32
理直	5,10
理直气壮	5,17,20,31
理睬	3,19,20,24,25
理竭	19
理解	0,16,19,24
理论	5,17,21,26,31
理财	24
琉	7,10
琉娜	16,19
琉斯	10
琉斯上	10
琉斯下	10
琉斯及	10
琉斯重	10
琉璃	12,23
琐	2,7
琐事	2,31
琐屑	7,12,21,31,32
琐琐	7
琐碎	1,7,15,19,30
琐细	1,10,12,16,30,31
琢磨	19,31
琥珀	4,14,19
琥珀色	19
琪琳	9
琮	12
琳	3
琳琅	4
琳琅满目	4
琴	1,14,16,17,30
琴儿	14,30
琴和安替	21
琴囊	30
琴弦	8,11,21,27,30
琴柱	14
琴瑟	26
琴瑟调和	26
琴韵	6
琵奥	32
琵琶	7,13,19,25,29,31
琼	12,14,19
琼浆	11,28,31
琼浆玉液	28
瑕疵	0,8,25
瑞士	3,7
瑞尔	25
瑞尼	31
瑞尼埃	31
瑞尼埃上	31
瑞尼埃来	31
瑞尼埃率	31
瑞斯	28
瑞索	31
瑞隆	21
瑟夫	14
瑟斯	11
瑟瑟	30
瑟罗	26
瑰伟	28
瑰奇	10
瑰宝	28
璀璨	5,19
璞	23
璧	19,28
瓜分	1
瓜子	31
瓜棚	24
瓣	5,19
瓦	3,18,23
瓦克	31
瓦尼亚	8
瓦斯	25
瓦砾	2,13,21
瓦罐	5
瓦萨写	31
瓦解	2,7,13,17,20,21,27,31
瓦解冰消	31
瓦隆	31
瓦鲁恩	31
瓮	31
瓮中	31
瓮中捉鳖	31
瓶	16,27,28
瓶儿	28
瓶子	17,18,23,26
甄陶	1
甘之如饴	11
甘乳	5,22
甘于	1
甘休	0,1,3,16,26,28,31
甘冒	3,4,8
甘受	3,19,31
甘姆	17
甘心	0,1,2,3,4,7,8,9,10,11,12,14,16,17,18,19,20,21,26,27,28,31,32
甘愿	0,1,5,10,12,20,24,28,31
甘拜下风	3,7,19,21,31
甘来	3,9
甘泉	29
甘甜	5
甘美	3,6,21,22,24,26,27,29
甘芳	21
甘蜜	7,21
甘言	3,8,10,11,27,32
甘言美语	32
甘霖	6,7
甘露	12,24,26,27,28,29,32
甚	0,1,2,3,4,7,10,12,13,16,19,21,22,23,27,29,31,32
甚为	31
甚于	0,1,2,4,10,13,19,24,29,31,32
甚合	31
甚细	31
甚通	19
甚锐	16
甜	5,17,19,20
甜味	1,12
甜头	8,17,18,26,31
甜柔	0,6,28
甜熟	18
甜甜	12,19,21,31
甜甜的	19
甜甜蜜蜜	12,21,31
甜美	1,4,6,21,28
甜蜜	0,1,2,3,4,5,6,10,11,12,15,16,17,21,24,25,28,29,31,32
甜蜜蜜	12,21,31
甜言	7,9,24,25,30,31
甜言蜜语	7,9,24,25,30,31
甜酒	1
甜酸	26
甜食	15
生	0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32
生下	1,2,5,7,8,9,11,12,13,14,16,17,20,21,22,24,25,26,27,28,29,30,31
生下个	29
生不出	4,20,31
生不逢辰	5,29,31
生个	17,24
生之子	12,25
生了锈	8,17,31
生事	2,4,18,25,30
生于	3
生产	1,6,8,12,20,24,28,29,32
生人	0,6,9,12,13,15,16,24,27
生仇	25
生他	24,32
生作	23
生儿	3
生兄	9,13,18,26
生光	6,19
生全	28
生养	3,12,13,17,22,26
生出	1,7,17,20,24,28,31
生利	6
生利息	6
生到	12,27
生前	1,5,6,7,8,10,12,22,24,25,27,29,30,31,32
生力	2,17,22
生力军	2,17,22
生动	17
生化	5
生厌	0,1,4,8,31,32
生变	22,26,27
生后	25
生命	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32
生命危险	2
生命线	15,17
生命财产	5
生嗔	11
生在	20
生头	26
生姜	0,1,4,6,17,23
生姿	14
生子	1,2,3,4,6,7,8,9,11,12,13,14,16,17,19,20,21,23,25,30,31
生存	1,7,10,12,13,16,23,24,25,27,29
生对	8
生就	0,11,12,17,19,25,26,31
生平	1,6,8,9,13,14,15,17,24,25,26,27,29,31
生徒	8
生得	4,6,8,11,14,15,16,28,29,31
生得长	15
生怕	1,3,12,20,23,24,31,32
生性	0,20,25,26,31
生恐	11
生恨	25
生息	22,25,26
生悲	4,21
生情	19
生意	1,4,6,7,8,17,18,19,23,31,32
生憎	13
生成	3
生或死	27
生手	3,8
生擒	10,31
生擒活捉	10
生效	0
生无灵	25
生日	8,10,32
生时	0
生有幸	10,11,14,18
生机	1,5,7,8,11,26,29
生杀	10
生杀予夺	10
生来	0,1,4,5,8,9,12,16,17,18,19,20,25,31
生根	25
生死	1,2,3,5,6,8,17,20,21,22,23,25,27,31
生死之交	17
生死关	31
生死关头	31
生死存亡	1,2,8,27
生殖	20
生母	25
生毛	1
生气	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,18,19,20,21,22,24,26,27,28,29,30,31,32
生气勃勃	12,16
生津	21
生活	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,23,24,25,26,27,28,29,31,32
生活费	1
生活费用	1
生涩	10
生涯	1,3,11,12,16,20,27,28
生火	3,14,28
生灵	2,4,17,19,25,31
生灵涂炭	2,17,31
生父	25
生牢	4,28
生物	1,7,8,12,13,15,21,22,27,29
生猪	4
生猪肉	4
生理	22
生生	0,1,3,5,7,12,13,15,21,23,25,27,29
生生不息	27
生生世世	23
生生死死	3,5
生男育女	20,23,26,31
生畏	1,6,22,23,28,31,32
生番	18,20,31
生疏	3,12,21
生疑	25
生病	15,24
生着	2,5,6,11,12,13,14,15,16,18,28,30,31
生硬	17,19
生离	15,31,32
生离死别	32
生而	0
生育	8,17,21,22,25,27,31
生脚	8
生腥	22
生腿	30
生色	1,12
生花	4,19
生花妙	19
生荚	1
生菜	20,31
生蒙不虞	30
生虫	3
生角	18
生计	4,24
生财	7,18,31
生财之道	31
生财有道	7
生起	21,27,28
生起锈来	27
生趣	0,3,13,27,28
生趣盎然	13
生路	5,16,18,25,31
生身	2,4,20,31
生身母亲	2
生辉	14,24
生辰	5,8,9
生辰八字	9
生过	21
生还	6,17,25,29,31
生锈	1,17,21,25,26,31
生长	0,1,2,6,7,8,9,10,12,13,15,16,17,19,22,23,24,25,26,27,28,29
生风	31
生香	4
生龙活虎	3,28,31
甥女	21
用不着	0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,19,20,21,22,23,25,26,27,29,30,31,32
用乔	28
用于	31
用些	1,4,6,8,11,12,16,18,19,20
用人	0,3,4,6,9,18,20,30,32
用以	15,28,31
用作	0,15
用假	31
用光	11,13
用兵	2,10,17,26
用兵之道	17
用具	14
用出	15
用刀	25,31
用刑	3
用到	5,12,31
用剑	10,31
用力	10,12,20,24,25,26,27
用功	0,7,18,31
用功读书	18
用劲	11
用口	30
用合于	4
用品	11
用墨	11
用处	1,2,3,4,5,6,7,8,9,10,11,12,14,16,18,19,20,21,23,24,26,27,28,29,30,31,32
用大槌	1
用太大	1
用头	27
用小钉	14
用尖	1
用尽	1,3,5,6,7,11,17,18,21,23,25
用尾	17
用布	17
用度	7
用得	10,11,14,16,17,21,23,32
用得着	10,11,14,16,17,21,23,32
用心	2,3,5,7,8,11,14,16,17,18,19,23,25,27,28,29,30,31
用心听	16,19,28,31
用心读	2
用意	1,2,3,4,7,11,12,13,14,16,17,18,19,20,21,25,26,30,31
用意何在	31
用手	4,27,32
用柩	5
用棒儿	16
用椅	31
用武	17,31
用武之地	31
用水	9
用泪	20
用火	1
用烧	9
用爱和力	15
用牙	31
用物	25
用琴	14
用用	1,15
用眷	1
用竿	31
用笔	4
用箭	30
用箭射	30
用美	19
用脚	31
用血	1,17
用角	19
用计	31
用词	19
用话	3,19,31
用语	1,27
用费	31
用足	20
用过	9,11,15,16,24,25
用途	5,13,26,27,31
用酒	0,6
用酸醋	10
用针	20
用钱	11,28
用铜角	27
用青	18
用餐	1,6,25,27
用默忍	6
甩	31
甩开	1
甩掉	3
田	16,17,30
田中	15
田产	24
田亩	1,2,20,22,27,28
田园	7,12,31
田地	1,3,4,7,14,16,18,26,27,31
田塍	2
田多	28
田庄	14,23,24,26
田禾	16
田舍	4
田边	1
田里	20,24
田野	1,8,18,20,24,25,27,29,31
田间	16
田鼠	22
由他去	24
由众	31
由何	3
由安佐及	31
由约翰	31
由罗	26
由英王	31
由衷	3,10,13,27,31
由衷之言	31
由贡	28
由风	17
甲	0,1,2,3,4,5,7,8,9,10,12,13,14,17,21,22,23,24,25,26,27,29,31,32
甲上	4,9,22
甲下	1,4,12,22
甲且	7
甲乙	3,13
甲兵	8
甲及	11
甲壳	30
甲外	12,31
甲板	8,12,13,25,28,31
甲械	22
甲片	10
甲胄	1,2,7,8,10,17,19,20,21,25,27,31
甲虫	10,12,20,22,23,28
甲重	1,25
申冤	31
申斥	1,2,7,13,23,25
申明	31
申求	31
申申	7,9
申诉	1,2,5,8,14,24,25,31,32
申诉人	31
申说	11,19,30
申请	31
申辩	9
申达	27
申述	1,24
电	12,20,23
电光	32
电击	28
电火	20
电闪	17,31
电闪雷鸣	17
男	3,4,8,10,11,21,24
男个	5
男交颈	16
男人	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,28,30,31,32
男人家	6,9
男人装	18
男仆	24
男低音	30
男儿	1,2,3,10,12,17,30
男嗣	24
男大当婚	16
男女	3,4,5,10,12,15,16,17,18,19,20,21,28
男女双方	10
男女老少	17
男子	1,2,3,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32
男子气	12,22
男子汉	1,3,5,12,14,17,18,19,20,21,22,24,30,31
男孩	2,4,6,15,17,18,22,24,25
男孩子	2,6,17,18,22
男客	24
男家	15
男宾	24
男性	22
男爵	6,17,31
男犯	31
男男女女	16
男界毒	25
男神	4,10
男童	10,16
男装	0,1,6,11,12,16
男高音	11
画	1,6,7,13,17,22,25,31
画一	31
画上	31
画个	17
画中	6,22,25
画像	0,2,4,6,11,13,14,18,21,22,31
画出	12,13,25
画工	14,16
画布	19
画师	5,6,11,13,19
画廊	31
画得	0,13
画成	29
画成个	17
画栋雕梁	18
画皮	31
画眉	4,6,15
画符	18,31
画符念咒	31
画舫	10,24
画里	11
画面	25
画饼	14
畀	13,27
畅	22
畅叙	4,25
畅心	29
畅快	8,9,22,28
畅流	1
畅聆	32
畅谈	9,17,25
畅通	21
畅饮	7,9,14
界	15
界线	2,10,20,25,27
界限	0,1,2,6,10,12,17,28,29
畏怯	15,27
畏惧	1,2,4,5,7,10,12,22,23,24,26,27,31,32
畏服	23
畏法	23
畏神	29
畏缩	12,20,23
畏罪	27
畏葸	31
畏避	27
畏首畏尾	20,21,22,31
留	0,1,2,3,5,6,7,9,10,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,30,31
留下	0,1,2,4,5,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,31,32
留下来	4,8,12,14,16,17,18,20,21,23,26,27,31,32
留不住	0
留个	6
留些	25
留住	0,4,10,11,14,21,25,27,30
留余地	19
留作	31
留供	29
留出	3,19,32
留在	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
留场	2
留存	15
留学	14
留居	25
留得	4,25
留心	0,1,2,3,4,5,6,7,8,9,10,12,14,15,16,18,19,20,21,22,26,27,28,29,30,31,32
留心看着	2,7,10,20,22,26,29,32
留恋	4,8,10,27,31
留情	1,5,13,17,19,25,31
留情面	5
留意	0,1,2,17,21,25,28,32
留步	10,26
留点	0,18,31
留点神	0,18,31
留着	0,1,3,4,5,7,8,9,10,12,13,14,16,18,21,25,27,28,29,30
留神	18,28,31
留给	3,4,8,9,11,12,13,16,18,21,27,31
留贷	0
留难	10,31
留驻	29
畛域	3,26
畜养	20
畜牧	31,32
畜生	0,1,2,4,5,6,7,9,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,30
畜类	2,5,10,12,19,20,27,31
略	1,3,7,10,12,13,14,15,19,30,31,32
略为	0,2,3,4,5,7,8,13,16,21,26
略伤	23
略作	6,25,28
略加	1,4
略微	1,2,6,10,18,19,21,26,27,30,31,32
略效	19
略施	17
略有	7,12,18,23,24,32
略有不同	32
略略	3,17
略知	30,31
略知一二	30,31
略示	26
略耐一	8
略胜	8,26,27,29
略胜一筹	8,26,27,29
略表	8,16
略起	23
略过	16
略进	1
略远	32
番红	4
番红花	4
番话	1,2,3,5,6,7,10,12,13,14,17,19,20,21,24,26,27,30,31
畸形	23,25,31
疆	8
疆土	1,17,27
疆场	2,3,10,12,13,17,21,25,29,31
疆梦苦扰	25
疆界	20,27,28
疏	22
疏于	10
疏忽	0,2,3,4,5,8,10,12,18,20,23,24,26,27,31
疏忽大意	31
疏慢	4
疏懒	16
疏斯及	21
疏远	1,4,6,17,20,26,32
疏通	12,23
疑团	12,19,26
疑心	1,3,4,5,6,7,8,9,10,12,13,14,15,18,20,24,26,27,29,30,32
疑忌	25
疑惑	0,6,7,8,12,13,14,16,17,22,23,26,28,30
疑惧	4
疑犯	5
疑猜	7
疑神疑鬼	9,21,31
疑窦	7
疑虑	1,4,6,7,8,10,13,17,21,22,24,25,32
疑问	0,1,4,8,9,17,18,19,24,27,28,30,31
疑难	24,31
疑难问题	31
疑鬼疑神	22
疔	20
疖	2,14
疖子	17,20
疗治	6,18,30
疗疾之人	3
疙瘩	18
疚	27
疝	1
疝气	2
疟疾	1,27,28
疠	17
疣	25
疤	15
疤痕	3,16,29,31
疥疮	30
疥癣	2,13
疫	17
疫吞满路	13
疫气	12
疫疠	20,24,27
疮	1,2,14,17,19,20,31
疮口	1
疮毒	13
疮疤	20
疮痍	1,20,22,25
疮痍满目	25
疯	0,1,2,3,4,5,7,9,12,13,14,16,17,18,19,20,21,22,23,26,28,29,30,31,32
疯丐	20
疯丫头	19
疯人	0,5,7,9,12,13,20,27,31
疯人院	31
疯信	29
疯倒	9
疯到	24
疯声	0
疯头	14,23
疯女	17
疯女人	17
疯婆	0
疯婆子	1,2,6,13
疯子	0,1,4,5,7,9,11,12,13,14,15,16,18,19,20,23,25,27,29,30,32
疯得	23,24,29
疯手	9
疯来	0,1,3,9,12,13,19,21,26,29
疯气	0
疯汉	1,14
疯狂	0,1,4,5,7,9,10,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31
疯狗	9,10,18,20
疯疯	7,9,10,12,14,18,20,22,24,26,29,30
疯疯癫癫	7,9,10,12,14,18,20,22,24,26,29,30
疯病	0,7,14,16,21,31
疯瘫	10,13
疯癫	7,9,10,12,14,18,20,22,23,24,25,26,29,30
疯眼	0
疯羊	19
疯脑	14,23
疯话	0,7,9,14,20,21,22,23,24,29
疯闹	4,7
疱疹	7
疲	22
疲乏	1,9,11,12,14,15,16,19,20,28,30,31,32
疲于	7,8
疲于奔命	7,8
疲倦	0,2,3,12,14,20,22,23,28,29,30
疲劳	2,3,12,17,22,27,32
疲弱	1,27
疲惫	24,31
疵议	30
疼	9,10,12,14,18,23,29,31
疼人	11
疼得	23
疼惜	14
疼爱	3,4,5,12,24,26,27,28,31
疼疼	31
疼痛	8,10,13,26,27
疾呼	1,2,20,24,31
疾奔	1
疾恶	1,20
疾恶如仇	1,20
疾病	0,1,3,10,12,13,15,19,20,22,27,31,32
疾走	16
疾趋	10
疾足	15
疾进	21
疾风	12,21
疾首痛心	12
疾首蹙额	25
疾驰	6,19,27,29
疾驶	2,31
病	0,1,2,3,4,6,8,9,10,11,12,13,16,17,18,19,20,21,22,23,24,25,27,28,30,31,32
病上	25,32
病人	1,2,3,5,7,8,10,13,16,17,18,19,21,22,24,27,32
病体	1,2,25
病使	4
病倒	12,17,24
病入膏肓	1,3,21
病到	31
病势	1
病号	17
病床	3
病弱	32
病得	1
病态	4,7,20,22
病是	1
病来	1,4,5
病根	19,21,22
病榻	19
病死	23,32
病治好	3
病源	1,8,21
病犬	10
病状	1,3,27
病狂	7,26,31
病疮	27
病症	1,2,3,8,11,19,30
病痛	3,14,17,20,23
病笃	31
病羊	6
病菌	1
病象	1
病重	5,25,27
病魔	3
症	3,17,21,24
症状	3,19
痈疽	31
痉挛	24,28
痊愈	1,3,10,13,14,22,25,26,32
痒	0,5,6,9,12,15,21,30,32
痒处	32
痒痒	4,18
痕	1,10,29
痕和玛葛丽	28
痕尚	2
痕迹	1,2,5,7,8,9,10,11,13,16,17,20,21,22,23,24,25,26,29,31,32
痘疮	28
痛	1,3,6,7,9,13,19,20,21,25,27,28,30
痛不欲生	0,8,22,29
痛倒	9
痛入骨髓	20,22
痛击	10,19,28,31
痛切	24
痛剿	25
痛史	27
痛哭	1,2,4,5,6,7,8,10,12,13,14,15,16,20,21,22,24,25,26,28,29,30,31
痛哭流涕	1,5,6,8,10,15,16,20,26,30,31
痛处	16,28
痛如	31
痛子	12
痛得	5,20,21
痛心	2,4,5,7,10,11,12,13,15,16,22,24,25,26,28,29,31,32
痛心疾首	4,15,31
痛快	1,2,3,5,6,7,8,10,11,12,13,14,16,17,18,21,22,23,24,25,26,28,29,31,32
痛恨	0,2,3,4,5,7,8,10,11,12,13,19,20,21,23,26,27,29,30,31
痛悔	3,12,28
痛悔前非	3,28
痛悼	4,15
痛惜	11
痛惩	1,10,27
痛打	0,1,2,8,14,18,20,23,26,28
痛打一顿	0,1,23,28
痛改前非	1,20
痛斥	2,13,21
痛来	2
痛极	25
痛楚	1,2,5,12,20,31
痛疮	1,2
痛痒	2,30
痛痛	1,2,5,6,7,10,13,14,16,21,22,23,28,29
痛痛快快	1,2,5,6,7,10,13,14,16,21,22,23,28,29
痛苦	0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,18,19,20,21,23,24,25,26,27,28,29,30,31,32
痛苦万分	25,29
痛责	30
痛起来	28
痛风	1,12,16,21
痛风病	1,12
痛饮	1,5,7,10,19,22,25,27,31
痛骂	2,7,12,13,15,16,18,20,24,29,30,31
痛骂一顿	16
痣	7,9,12,19
痨病	13
痫	19
痰	16,21
痴	5,22
痴人	5,6,16,18,21,25,29
痴人说梦	5,21,25
痴劲	16
痴呆	1,4,7,9,10
痴心	0,1,2,3,4,5,6,7,9,10,11,14,15,16,18,19,21,24,25,26,27,30,32
痴心人	9
痴心妄想	0,3
痴态	4
痴恋	15
痴情	0,11,14,15,25,26,30,31
痴愚	0,1,2,3,4,10,11,12,16,17,19,20,21,23
痴汉	0
痴男怨女	12,19,21
痴痴	30
痴笑	16
痴聋	7,18
痴肥	1
痴肥臃肿	1
痴迷	27
痼	22
痼疾	3,5,7,31
瘀	20
瘀血	10
瘐	31
瘘管	3
瘟	1,4,13,15,31
瘟死	16,28
瘟生	26
瘟疫	1,2,5,10,11,13,19,20,21,22,24,27,28,30
瘟病	17,28
瘟症	21
瘟神	31
瘠	2
瘢	7,10
瘢痕	15
瘤	7
瘦	1,3,8,9
瘦下去	1,30
瘦削	7,8,10,31
